candidate_id,rank,score,reasoning
CAND_0041669,1,0.6748350858688354,"8.0-year Recommendation Systems Engineer with production experience in Milvus, Information Retrieval, PEFT. Alignment showcasing evaluation framework experience, production deployment evidence; 60-day notice period; location compatible; high recruiter responsiveness; active open-source contributor."
CAND_0046525,2,0.6729056239128113,"6.1-year Senior Machine Learning Engineer with production experience in Sentence Transformers, Machine Learning, LlamaIndex. Alignment showcasing evaluation framework experience, production deployment evidence, mentorship readiness; 60-day notice period; location compatible; high recruiter responsiveness."
CAND_0081846,3,0.6706046462059021,"6.7-year Lead AI Engineer with production experience in Embeddings, Information Retrieval, Vector Search. Alignment showcasing evaluation framework experience, production deployment evidence, mentorship readiness; available within 30 days; willing to relocate to target cities; high recruiter responsiveness."
CAND_0075574,4,0.658953845500946,"5.7-year Machine Learning Engineer with production experience in OpenSearch, Elasticsearch, scikit-learn. Alignment showcasing evaluation framework experience, production deployment evidence; 60-day notice period; willing to relocate to target cities."
CAND_0049896,5,0.6530598402023315,"7.3-year Search Engineer with production experience in NLP, Information Retrieval, LlamaIndex. Alignment showcasing evaluation framework experience, production deployment evidence; longer 90-day notice period; willing to relocate to target cities."
CAND_0062247,6,0.64852374792099,"7.3-year AI Engineer with production experience in Qdrant, Hugging Face Transformers, Vector Search. Alignment showcasing production deployment evidence; available within 30 days; willing to relocate to target cities; high recruiter responsiveness."
CAND_0064904,7,0.6328334212303162,"4.9-year AI Engineer with production experience in TensorFlow, Embeddings, Elasticsearch. Alignment showcasing evaluation framework experience, production deployment evidence, mentorship readiness; longer 90-day notice period; location compatible; high recruiter responsiveness."
CAND_0054394,8,0.6278873682022095,"4.1-year Recommendation Systems Engineer with production experience in Fine-tuning LLMs, scikit-learn, Embeddings. Alignment showcasing evaluation framework experience, production deployment evidence; available within 30 days; location compatible."
CAND_0024466,9,0.6231198310852051,"5.2-year Search Engineer with production experience in LoRA, Sentence Transformers, PEFT. Alignment showcasing evaluation framework experience, production deployment evidence; longer 120-day notice period; willing to relocate to target cities."
CAND_0087494,10,0.5948812961578369,"3.4-year ML Engineer with production experience in Fine-tuning LLMs, LoRA, Sentence Transformers. Alignment showcasing production deployment evidence; 60-day notice period; willing to relocate to target cities; active open-source contributor."
CAND_0058575,11,0.593229353427887,"5.8-year AI Engineer with production experience in Hugging Face Transformers, Pinecone, PyTorch. Alignment showcasing evaluation framework experience, production deployment evidence, mentorship readiness; longer 90-day notice period; willing to relocate to target cities."
CAND_0066376,12,0.5910958647727966,"5.7-year Applied ML Engineer with production experience in LlamaIndex, Learning to Rank, FAISS. Alignment showcasing evaluation framework experience, production deployment evidence; longer 90-day notice period; location compatible."
CAND_0086151,13,0.5858761072158813,"7.7-year Recommendation Systems Engineer with production experience in Qdrant, Elasticsearch, PEFT. Alignment showcasing evaluation framework experience, production deployment evidence; longer 120-day notice period; willing to relocate to target cities."
CAND_0099269,14,0.5828090906143188,"5.5-year Data Scientist with production experience in LLMs, NLP, Python. Alignment showcasing production deployment evidence; longer 120-day notice period; location compatible."
CAND_0074339,15,0.5660848617553711,"5.3-year ML Engineer with production experience in OpenSearch, FAISS, LlamaIndex. Alignment showcasing production deployment evidence; longer 120-day notice period; willing to relocate to target cities."
CAND_0044248,16,0.5601786971092224,"6.9-year Junior ML Engineer with production experience in Sentence Transformers, Vector Search, Hugging Face Transformers. Alignment showcasing production deployment evidence; longer 120-day notice period; willing to relocate to target cities; high recruiter responsiveness."
CAND_0015543,17,0.5593996644020081,"3.1-year ML Engineer with production experience in NLP, LangChain, FAISS. Moderate technical overlap with the JD; 60-day notice period; location compatible."
